#    lam  spec.e spec.sa spec.sb spec.sd  spec.ir
#
3791.680 0.45597 0.58790 0.67442 0.75881 1.11617
3792.550 0.45474 0.58421 0.66816 0.74547 1.09385
3793.420 0.44308 0.56978 0.65065 0.71800 1.05614
3794.300 0.43099 0.55448 0.63183 0.68794 1.01769
3795.170 0.41619 0.53677 0.61083 0.65596 0.97511
3796.050 0.40523 0.52394 0.59590 0.63367 0.94732
3796.920 0.39665 0.51438 0.58519 0.61849 0.94705
3797.790 0.38946 0.50765 0.57885 0.61191 0.97694
3798.670 0.38643 0.50666 0.57999 0.61792 1.01940
3799.540 0.39473 0.51035 0.57901 0.60588 0.99259
3800.420 0.41096 0.52506 0.59244 0.61813 0.95862
3801.290 0.43835 0.55226 0.61994 0.65029 0.95823
3802.170 0.46371 0.57766 0.64585 0.68111 0.97347
3803.040 0.48185 0.60151 0.67601 0.73020 1.03557
3803.920 0.50089 0.62258 0.69954 0.76280 1.07135
3804.800 0.50852 0.63185 0.71070 0.77978 1.09607
3805.670 0.51286 0.63918 0.72127 0.79920 1.13072
3806.550 0.50931 0.63694 0.72036 0.80099 1.12843
3807.420 0.50575 0.63890 0.72806 0.82284 1.17171
3808.300 0.50835 0.64403 0.73591 0.83791 1.19221
3809.180 0.51541 0.65155 0.74407 0.84856 1.19912
3810.060 0.52259 0.66356 0.76129 0.88016 1.24056
3810.930 0.52315 0.66644 0.76663 0.89173 1.25936
3811.810 0.51885 0.66196 0.76193 0.88557 1.25813
3812.690 0.50294 0.64993 0.75371 0.88460 1.26187
3813.570 0.48298 0.63195 0.73750 0.86970 1.24875
3814.440 0.46353 0.61218 0.71710 0.84444 1.22057
3815.320 0.44824 0.59919 0.70628 0.83668 1.21567
3816.200 0.43510 0.58954 0.70009 0.83724 1.21957
3817.080 0.42799 0.58450 0.69713 0.83832 1.21527
3817.960 0.42915 0.58607 0.69917 0.84158 1.23449
3818.840 0.42171 0.57997 0.69439 0.83883 1.23377
3819.720 0.41192 0.56882 0.68167 0.82032 1.21605
3820.600 0.40281 0.56033 0.67372 0.81214 1.21833
3821.480 0.39696 0.55263 0.66402 0.79611 1.19427
3822.360 0.39598 0.55418 0.66823 0.80680 1.19585
3823.240 0.39220 0.55376 0.67128 0.81806 1.21298
3824.120 0.38353 0.54706 0.66653 0.81680 1.21499
3825.000 0.37105 0.53569 0.65614 0.80680 1.19964
3825.880 0.36087 0.52145 0.63753 0.77501 1.15163
3826.760 0.35173 0.50999 0.62352 0.75273 1.12224
3827.640 0.34272 0.50141 0.61526 0.74369 1.10674
3828.520 0.34081 0.49864 0.61159 0.73714 1.09370
3829.410 0.33866 0.49282 0.60194 0.71696 1.06203
3830.290 0.33562 0.48687 0.59292 0.69925 1.03306
3831.170 0.32868 0.47721 0.58035 0.67779 1.00265
3832.050 0.32163 0.46415 0.56092 0.64050 0.95138
3832.930 0.31124 0.45127 0.54528 0.61586 0.91535
3833.820 0.30320 0.44124 0.53306 0.59649 0.88811
3834.700 0.30108 0.44091 0.53461 0.60239 0.93152
3835.580 0.30048 0.44419 0.54199 0.62017 1.01987
3836.470 0.30139 0.44603 0.54486 0.62568 1.05899
3837.350 0.30731 0.44827 0.54338 0.61512 1.00704
3838.230 0.30810 0.44433 0.53453 0.59332 0.92945
3839.120 0.31282 0.45054 0.54241 0.60592 0.90151
3840.000 0.32390 0.46517 0.56099 0.63616 0.92059
3840.890 0.34035 0.48201 0.57857 0.65789 0.94285
3841.770 0.36409 0.50799 0.60732 0.69722 0.99100
3842.650 0.38452 0.53167 0.63480 0.73739 1.03479
3843.540 0.40871 0.55918 0.66622 0.78242 1.09654
3844.420 0.42667 0.57763 0.68554 0.80647 1.11771
3845.310 0.43740 0.58836 0.69649 0.81938 1.13605
3846.200 0.44574 0.59919 0.71010 0.84121 1.15709
3847.080 0.45220 0.60707 0.71962 0.85571 1.16908
3847.970 0.45442 0.61076 0.72492 0.86530 1.19224
3848.850 0.45557 0.61352 0.72942 0.87423 1.19269
3849.740 0.45143 0.61021 0.72696 0.87308 1.20154
3850.630 0.45024 0.60862 0.72496 0.86959 1.19332
3851.510 0.45367 0.61273 0.72989 0.87690 1.19452
3852.400 0.45479 0.61779 0.73913 0.89690 1.21933
3853.290 0.45426 0.61914 0.74247 0.90508 1.22863
3854.170 0.45091 0.61682 0.74122 0.90585 1.22997
3855.060 0.44327 0.61177 0.73879 0.90878 1.23419
3855.950 0.43753 0.60471 0.73028 0.89540 1.21621
3856.840 0.42894 0.59774 0.72490 0.89258 1.21707
3857.730 0.41890 0.59120 0.72189 0.89696 1.22893
3858.610 0.41419 0.58471 0.71349 0.88268 1.21500
3859.500 0.40787 0.58051 0.71144 0.88497 1.21609
3860.390 0.40637 0.57950 0.71097 0.88541 1.20846
3861.280 0.41895 0.59030 0.72015 0.89206 1.22101
3862.170 0.43678 0.60860 0.73930 0.91589 1.24696
3863.060 0.45441 0.62448 0.75369 0.92882 1.24959
3863.950 0.47137 0.64043 0.76892 0.94453 1.26730
3864.840 0.47694 0.64467 0.77189 0.94483 1.26665
3865.730 0.48397 0.65003 0.77567 0.94535 1.27382
3866.620 0.49057 0.65715 0.78350 0.95577 1.29525
3867.510 0.49259 0.66210 0.79160 0.97237 1.44683
3868.400 0.49230 0.66480 0.79750 0.98685 1.77244
3869.290 0.48428 0.65809 0.79212 0.98412 2.14057
3870.180 0.47036 0.64244 0.77447 0.95920 2.25794
3871.070 0.45659 0.62715 0.75738 0.93453 1.93200
3871.960 0.44555 0.61371 0.74125 0.90885 1.55449
3872.860 0.43903 0.60363 0.72733 0.88336 1.30422
3873.750 0.44132 0.60504 0.72790 0.88167 1.20742
3874.640 0.45212 0.61365 0.73443 0.88419 1.17940
3875.530 0.46063 0.62339 0.74566 0.90031 1.19809
3876.420 0.46240 0.62432 0.74578 0.89837 1.18771
3877.320 0.46036 0.61965 0.73837 0.88326 1.15882
3878.210 0.44773 0.60572 0.72290 0.86165 1.13019
3879.100 0.43813 0.59438 0.70963 0.84165 1.10192
3880.000 0.43445 0.59137 0.70729 0.84027 1.09536
3880.890 0.43282 0.58825 0.70263 0.83113 1.08807
3881.780 0.43052 0.58358 0.69548 0.81696 1.06182
3882.680 0.43347 0.58301 0.69133 0.80370 1.04340
3883.570 0.43468 0.58025 0.68447 0.78616 1.01046
3884.470 0.43125 0.57321 0.67365 0.76473 0.96574
3885.360 0.42659 0.56436 0.66038 0.73906 0.92548
