Plate  MJD    Fib   z        
  306  51690  328    0.025491
  306  51690  329    0.144496
  306  51690  330    0.372875
  306  51690  332    0.123797
  306  51690  334    0.114772
  306  51690  335    0.150191
  306  51690  336    0.101779
  306  51690  337    0.169808
  306  51690  338    0.052125
  306  51690  339    0.161103
  306  51690  341    0.334977
  306  51690  342    0.085163
  306  51690  343    0.056773
  306  51690  344    0.114501
  306  51690  347    0.128729
  306  51690  348    0.135581
  306  51690  349    0.084740
  306  51690  350    0.294875
  306  51690  353    0.023733
  306  51690  354    0.332645
  306  51690  355    0.134662
  306  51690  356    0.084163
  306  51690  358    0.084677
  306  51690  359    0.084376
  306  51690  360    0.229130
  306  51690  361    0.113253
  306  51690  362    0.212051
  306  51690  363    0.151916
  306  51690  364    0.422788
  306  51690  366    0.122929
  306  51690  368    0.121754
  306  51690  369    0.190303
  306  51690  370    0.123297
  306  51690  371    0.123131
  306  51690  372    0.029606
  306  51690  373    0.029446
  306  51690  376    0.479449
  306  51690  377    0.328794
  306  51690  378    0.086419
  306  51690  379    0.323652
  306  51690  380    0.155745
  306  51690  381    0.051020
  306  51690  382    0.053602
  306  51690  383    0.055098
  306  51690  384    0.363731
  306  51690  385    0.055652
  306  51690  386    0.055858
  306  51690  387    0.055638
  306  51690  388    0.102548
  306  51690  390    0.056818
  306  51690  392    0.113983
  306  51690  393    0.129255
  306  51690  394    0.101965
  306  51690  395    0.104368
  306  51690  396    0.137857
  306  51690  397    0.105207
  306  51690  399    0.054381
  306  51690  401    0.132729
  306  51690  403    0.136115
  306  51690  404    0.029908
  306  51690  405    0.025934
  306  51690  406    0.123743
  306  51690  407    0.133166
  306  51690  408    0.030180
  306  51690  409    0.136260
  306  51690  410    0.029872
  306  51690  411    0.132561
  306  51690  412    0.087101
  306  51690  413    0.136809
  306  51690  414    0.150558
  306  51690  415    0.298752
  306  51690  416    0.205309
  306  51690  418    0.068087
  306  51690  419    0.131520
  306  51690  420    0.137346
  306  51690  421    0.055599
  306  51690  422    0.054145
  306  51690  423    0.150905
  306  51690  424    0.147592
  306  51690  425    0.086117
  306  51690  426    0.129730
  306  51690  427    0.136378
  306  51690  428    0.189349
  306  51690  429    0.054691
  306  51690  430    0.055762
  306  51690  431    0.056150
  306  51690  432    0.103146
  306  51690  434    0.086537
  306  51690  436    0.117911
  306  51690  438    0.102839
  306  51690  439    0.054353
  306  51690  440    0.102211
  306  51690  441    0.078053
  306  51690  442    0.080877
  306  51690  443    0.335990
  306  51690  445    0.399381
  306  51690  446    0.117322
  306  51690  449    0.144022
  306  51690  450    0.108595
  306  51690  451    0.029698
  306  51690  453    0.471717
  306  51690  454    0.071225
  306  51690  455    0.222246
  306  51690  456    0.126913
  306  51690  459    0.150040
  306  51690  461    0.094995
  306  51690  462    0.135522
  306  51690  463    0.095041
  306  51690  465    0.299194
  306  51690  466    0.373434
  306  51690  467    0.135294
  306  51690  468    0.136013
  306  51690  469    0.162488
  306  51690  470    0.130382
  306  51690  471    0.130299
  306  51690  472    0.131400
  306  51690  473    0.054697
  306  51690  474    0.055750
  306  51690  475    0.053602
  306  51690  476    0.078879
  306  51690  477    0.035107
  306  51690  479    0.087495
  306  51690  480    0.130392
  306  51690  481    0.129833
  306  51690  485    0.054373
  306  51690  486    0.052361
  306  51690  488    0.034391
  306  51690  489    0.130708
  306  51690  490    0.120710
  306  51690  491    0.289540
  306  51690  492    0.136088
  306  51690  493    0.055361
  306  51690  494    0.099040
  306  51690  496    0.093475
  306  51690  498    0.130146
  306  51690  499    0.404691
  306  51690  501    0.445779
  306  51690  502    0.129934
  306  51690  503    0.054637
  306  51690  504    0.033961
  306  51690  505    0.005130
  306  51690  506    0.121573
  306  51690  507    0.156703
  306  51690  508    0.092750
  306  51690  509    0.025685
  306  51690  510    0.148139
  306  51690  511    0.030847
  306  51690  514    0.071790
  306  51690  516    0.473669
  306  51690  517    0.127999
  306  51690  520    0.034900
  306  51690  521    0.119364
  306  51690  522    0.068320
  306  51690  526    0.126358
  306  51690  527    0.150181
  306  51690  528    0.108414
  306  51690  529    0.137482
  306  51690  530    0.114276
  306  51690  532    0.077739
  306  51690  533    0.078427
  306  51690  534    0.155917
  306  51690  535    0.033997
  306  51690  536    0.150537
  306  51690  537    0.124056
  306  51690  538    0.136555
  306  51690  540    0.175222
  306  51690  541    0.431328
  306  51690  542    0.124665
  306  51690  543    0.125676
  306  51690  545    0.077940
  306  51690  546    0.078603
  306  51690  547    0.456154
  306  51690  548    0.154854
  306  51690  551    0.079350
  306  51690  552    0.119084
  306  51690  553    0.028713
  306  51690  554    0.118389
  306  51690  556    0.432898
  306  51690  557    0.078030
  306  51690  559    0.128166
  306  51690  560    0.052044
  306  51690  562    0.339461
  306  51690  563    0.069596
  306  51690  564    0.118994
  306  51690  565    0.114285
  306  51690  566    0.137242
  306  51690  567    0.093258
  306  51690  568    0.078648
  306  51690  569    0.030119
  306  51690  570    0.050261
  306  51690  571    0.119463
  306  51690  572    0.128020
  306  51690  573    0.119503
  306  51690  574    0.093779
  306  51690  575    0.115306
  306  51690  576    0.115494
  306  51690  577    0.132574
  306  51690  578    0.127211
  306  51690  580    0.115167
  306  51690  581    0.030337
  306  51690  582    0.029753
  306  51690  583    0.279339
  306  51690  584    0.222076
  306  51690  585    0.030395
  306  51690  586    0.118300
  306  51690  587    0.078273
  306  51690  588    0.117109
  306  51690  589    0.035076
  306  51690  591    0.136745
  306  51690  592    0.034374
  306  51690  594    0.120385
  306  51690  596    0.127509
  306  51690  598    0.056236
  306  51690  599    0.026363
  306  51690  600    0.121428
  306  51690  602    0.077905
  306  51690  603    0.124523
  306  51690  605    0.124650
  306  51690  606    0.137115
  306  51690  607    0.118504
  306  51690  608    0.077790
  306  51690  610    0.126188
  306  51690  611    0.127911
  306  51690  612    0.029878
  306  51690  613    0.137425
  306  51690  614    0.128046
  306  51690  615    0.118391
  306  51690  617    0.135794
  306  51690  618    0.128400
  306  51690  619    0.125892
  306  51690  620    0.120244
  306  51690  621    0.136535
  306  51690  622    0.029382
  306  51690  623    0.029142
  306  51690  624    0.149424
  306  51690  625    0.105007
  306  51690  626    0.105316
  306  51690  627    0.139995
  306  51690  630    0.209966
  306  51690  631    0.136665
  306  51690  634    0.108063
  306  51690  635    0.108536
  306  51690  638    0.123335
  306  51690  640    0.055821
