# Calibration lines for Lick, Schlegel, 22 June 1995
# Wavelengths in air from Handbook of Chemistry & Physics 67th edition, 1987
# Modified by DRL for MaNGA
# Using it for eBOSS since May 5th 2017
  8865.306   3000.0  BLEND  Ne I
  8865.755   2000.0  BLEND  Ne I
  8919.5007   700.0  GOOD   Ne I
  9122.9674  6000.0  FAINT  Ar I # DRL declares too faint
  9148.67    3000.0  BLEND  Ne I
  9201.759    900.0  GOOD   Ne I
  9226.69    1000.0  BLEND  Ne I
  9300.853    700.0  GOOD   Ne I
  9313.1386   150.0  FAINT  Ne I # DRL declares too faint
  9326.507    600.0  GOOD   Ne I
  9425.379    500.0  GOOD   Ne I
  9459.21     200.0  GOOD   Ne I
  9486.68     250.0  GOOD   Ne I
  9534.163    500.0  GOOD   Ne I
  9547.40     250.0  GOOD   Ne I
  9657.786     50.0  FAINT  Ar I # DRL declares too faint
  9665.424    900.0  GOOD   Ne I
  9784.503     50.0  FAINT  Ar I # DRL declares too faint
 10139.75   16000.0  GOOD   Hg
 10390.0     2000.0  UNKNOWN
